Subject Area,Name,Table,Column,Folder
Financials - AP Transactions,AP Payment Details By Customer,Invoice Date,Invoiced Fiscal Date,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Payment Details By Customer,Document Details,Invoice Number,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Payment Details By Customer,Facts - AP Transactions,AP Total Payment Amount,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Payment Details By Customer,Invoice Cleared Date,Invoice Cleared Fiscal Date,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Payment Details By Customer,Supplier,Supplier Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Supplier Details,Supplier Account,Supplier Account Number,/shared/Global Reporting/Financials/AP
Supplier Performance - Supplier AP Transactions,AP Supplier Details,Supplier Account,Supplier Site Address1,/shared/Global Reporting/Financials/AP
Supplier Performance - Supplier AP Transactions,AP Supplier Details,Supplier Account,Supplier Site City,/shared/Global Reporting/Financials/AP
Supplier Performance - Supplier AP Transactions,AP Supplier Details,Supplier Account,Supplier Site State,/shared/Global Reporting/Financials/AP
Supplier Performance - Supplier AP Transactions,AP Supplier Details,Supplier Account,Supplier Site Postal Code,/shared/Global Reporting/Financials/AP
Supplier Performance - Supplier AP Transactions,AP Supplier Details,Supplier Account,Supplier Site Country Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Supplier Details,Supplier,Supplier Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Supplier Details,Payables Invoicing Business Unit,Payables Invoicing Business Unit Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Supplier Details,Payment Method,Payment Method Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Supplier Details,Facts - AP Transactions,AP Total Payment Amount,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Supplier Details,Facts - AP Transactions,AP Payment Count,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Supplier Details,Payment Terms,Payment Terms Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Supplier Details,Supplier,Supplier Active Flag,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Supplier Details,GL Segment9,Segment Code,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Document Details,Purchase Invoice Number,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Supplier,Supplier Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Supplier,Supplier Type,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Created By,User Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Legal Entity,Legal Entity Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Document Details,AP Transaction Status,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,AP Transaction Type,AP Transaction Type Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,AP Transaction Type,AP Transaction Subtype Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Purchase Details,Purchase Order Number,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Payment Terms,Payment Terms Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Invoice Date,Invoiced Fiscal Day Date,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Invoice Cleared Date,Invoice Cleared Fiscal Day Date,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Invoice Cleared Date,Invoice Cleared Fiscal Date,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Payment Due Date,Payment Due Fiscal Day Date,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Facts - AP Transactions,AP Amount,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Ledger,Ledger Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Payables Invoicing Business Unit,Payables Invoicing Business Unit Name,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Document Details,Source AP Transaction Status,/shared/Global Reporting/Financials/AP
Financials - AP Transactions,AP Transaction Details,Document Details,AP Transaction Posted Status,/shared/Global Reporting/Financials/AP
Financials - AR Overview,AR Aging Report,Facts - AR Balance Aging,Total AR Outstanding Amount,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Facts - AR Invoice Aging,Total AR Overdue Amount,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Facts - AR Invoice Aging,AR Overdue Amount to Total %,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Facts - AR Invoice Aging,Aging Amount,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Facts - AR Invoice Aging,Total AR Due Amount,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Customer Account,Customer Account Name,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Customer Account,Customer Account Number,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,AR Aging Report,Customer Account,Primary Collector Name,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Customer Account,Group Membership,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Aging Bucket,Aging Bucket Name,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Aging Bucket,Aging Bucket Number,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Sales Organization,Sales Org Name,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Ledger,Ledger Name,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,Aging Bucket,Aging Method Code,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,GL Account,Natural Account Segment Code,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,AR Transaction Type,AR Transaction Sub Type Code,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Overview,AR Aging Report,GL Segment2,Segment Code,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,Customer Account,Customer Account Name,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Transactions,Inter Company Aging ,Customer Bill To Location,Bill To Site Use Location,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,Document Details,Transaction Number,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,AR Transaction Due Date,AR Transaction Due Date,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,Facts - AR Invoice Aging,Total AR Due Amount,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,Facts - AR Invoice Aging,Total AR Overdue Amount,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,Document Details,Invoice Paid Amount,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,Customer Account,Customer Account ID,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,Document Details,Invoice Payment Date,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,,,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,Sales Organization,Sales Org Name,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - AR Invoice Aging,Inter Company Aging ,Customer Account,Customer Account Number,/shared/Global Reporting/Financials/AR/Aging Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Document Details,Accounting Ship Date,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Fact - SLA Transaction,SLA Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Fact - Daily Dollar Measures,Daily Dollar Warehouse Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Fact - Daily Dollar Measures,Daily Dollar Futures Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Fact - Daily Dollar Measures,Daily Dollar Budger Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Fact - Daily Dollar Measures,Daily Dollar Forecast Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Fact - Daily Dollar Measures,Daily Dollar Last Year Sales,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Ledger,Ledger Category Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,GL Account,Group Account Number,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,GL Account,Business Unit,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,GL Journal Source,Journal Source Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,GL Account,Report Flag,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,GL Account,Division1,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Ledger,Ledger Name,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Ledger,Ledger Currency,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,GL Account,Division2,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Document Details,Accounting Class Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar,Document Details,Accounting Ship Period,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),GL Account,Division1,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),Fact - SLA Transaction,SLA Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),Fact - Daily Dollar Measures,Daily Dollar Budger Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),Fact - Daily Dollar Measures,Daily Dollar Forecast Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),Ledger,Ledger Category Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),GL Account,Group Account Number,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),GL Account,Business Unit,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),GL Journal Source,Journal Source Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),GL Account,Report Flag,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),Ledger,Ledger Name,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),Ledger,Ledger Currency,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),Document Details,Accounting Class Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Day),Document Details,Accounting Ship Date,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),GL Account,Division1,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Fact - SLA Transaction,SLA Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Fact - Daily Dollar Measures,Daily Dollar Budger Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Document Details,Accounting Ship Date,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Fact - Daily Dollar Measures,Daily Dollar Forecast Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Fact - Daily Dollar Measures,Daily Dollar Last Year Sales,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Ledger,Ledger Category Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),GL Account,Group Account Number,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),GL Account,Business Unit,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),GL Journal Source,Journal Source Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),GL Account,Report Flag,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Ledger,Ledger Name,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Ledger,Ledger Currency,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Document Details,Accounting Class Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Month),Document Details,Accounting Ship Period,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Fact - SLA Transaction,SLA Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Fact - Daily Dollar Measures,Daily Dollar Budger Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Document Details,Accounting Ship Date,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Fact - Daily Dollar Measures,Daily Dollar Forecast Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Fact - Daily Dollar Measures,Daily Dollar Last Year Sales,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Ledger,Ledger Category Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),GL Account,Group Account Number,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),GL Account,Business Unit,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),GL Journal Source,Journal Source Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),GL Account,Report Flag,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),GL Account,Division1,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Ledger,Ledger Name,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Ledger,Ledger Currency,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Document Details,Accounting Class Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - By BU (Total),Document Details,Accounting Ship Period,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),GL Account,Division1,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),GL Account,Division2,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),Fact - SLA Transaction,SLA Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),Fact - Daily Dollar Measures,Daily Dollar Forecast Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),Fact - Daily Dollar Measures,Daily Dollar Budger Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),Fact - Daily Dollar Measures,Daily Dollar Last Year Sales,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),Ledger,Ledger Category Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),GL Account,Group Account Number,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),GL Account,Business Unit,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),GL Journal Source,Journal Source Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),GL Account,Report Flag,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),Ledger,Ledger Name,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),Ledger,Ledger Currency,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),Document Details,Accounting Class Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(Month),Document Details,Accounting Ship Period,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),GL Account,Division1,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),GL Account,Division2,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Fact - SLA Transaction,SLA Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Fact - Daily Dollar Measures,Daily Dollar Forecast Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Fact - Daily Dollar Measures,Daily Dollar Budger Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Fact - Daily Dollar Measures,Daily Dollar Last Year Sales,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Ledger,Ledger Category Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),GL Account,Group Account Number,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),GL Account,Business Unit,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),GL Journal Source,Journal Source Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),GL Account,Report Flag,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Ledger,Ledger Name,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Ledger,Ledger Currency,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Document Details,Accounting Class Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Document Details,Accounting Ship Period,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Executinve Summary(MTD),Document Details,Accounting Ship Date,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Document Details,Accounting Ship Date,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Fact - SLA Transaction,SLA Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Fact - Daily Dollar Measures,Daily Dollar Budger Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Fact - Daily Dollar Measures,Daily Dollar Last Year Sales,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Fact - Daily Dollar Measures,Daily Dollar Forecast Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Ledger,Ledger Category Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,GL Account,Group Account Number,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,GL Account,Business Unit,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,GL Journal Source,Journal Source Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,GL Account,Report Flag,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,GL Account,Division1,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Ledger,Ledger Name,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Ledger,Ledger Currency,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Document Details,Accounting Class Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - Graph,Document Details,Accounting Ship Period,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,GL Account,Division1,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,GL Account,Division2,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Fact - Daily Dollar Measures,Daily Dollar Last Year Sales,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Fact - SLA Transaction,SLA Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Fact - Daily Dollar Measures,Daily Dollar Warehouse Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Document Details,Accounting Ship Date,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Fact - Daily Dollar Measures,Daily Dollar Backorders Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Fact - Daily Dollar Measures,Daily Dollar Futures Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Fact - Daily Dollar Measures,Daily Dollar Forecast Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Fact - Daily Dollar Measures,Daily Dollar Budger Amount,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Document Details,Accounting Ship Period,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,Ledger,Ledger Category Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,GL Account,Group Account Number,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,GL Account,Business Unit,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
Financials - Subledger Accounting - Detail Transactions,Daily Dollar - MTD Summary,GL Journal Source,Journal Source Code,/shared/Global Reporting/Financials/AR/Daily Dollar Reports
